region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"low_comp","rookie","volume_growth","star12","conservative",5,360,"won",12564281.879999999,1530912,16516286,0.09269105657288812,13380786.68,7,0,101,95.18285714285643,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","conservative",6,360,"won",12668319.29920001,2970000,12105591,0.2453411816077381,10589319.29920001,3,2,82,95.05428571428543,72,1,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","conservative",7,211,"dismissed",5172448.036600001,2640000,9478572,0.27852296738369453,5205448.036600001,9,0,33,96.09999999999988,13,3,0,"",false,true,false,8
"low_comp","rookie","volume_growth","star12","conservative",8,360,"won",13983816.871800002,4290000,12142449,0.35330599288496084,11772816.871800002,7,0,76,95.07999999999964,68,2,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","balanced",1,360,"won",33322087.29659999,1868164,27067660,0.06901830450064764,33650752.09659999,2,8,359,98.80000000000018,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","balanced",2,360,"won",32089687.380999986,1320000,24672098,0.05350173301030176,32334051.380999982,0,4,347,99.15,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","balanced",3,360,"won",30070548.728000004,1956845,26548684,0.07370779658984226,32319187.728000008,8,4,353,98.1000000000002,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","balanced",4,271,"dismissed",16844066.18799996,7727065,13554647,0.5700675937927413,17433001.18799996,28,0,153,95.25000000000009,50,3,0,"",false,true,false,10
"low_comp","rookie","volume_growth","star12","balanced",5,360,"won",23933046.74339982,8048022,14035408,0.5734084823184334,24795024.74339982,30,0,237,95.14999999999989,56,2,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","balanced",6,211,"dismissed",11014757.245399991,8146853,10915780,0.7463372292222819,11183904.24539999,28,0,95,94.37571428571447,30,3,0,"",false,true,false,8
"low_comp","rookie","volume_growth","star12","balanced",7,211,"dismissed",10954482.867399937,7245475,10900952,0.6646644256391552,11728007.867399938,27,0,110,95.01000000000002,44,3,0,"",false,true,false,8
"low_comp","rookie","volume_growth","star12","balanced",8,331,"dismissed",22959911.14780005,6029245,13854288,0.4351898127135801,22870666.14780005,20,0,223,95.29999999999988,34,3,0,"",false,true,false,12
"low_comp","rookie","volume_growth","star12","aggressive",1,241,"dismissed",8245349.035399983,5559624,10234505,0.543223536458285,10110725.035399983,25,0,140,97.65142857142838,34,3,0,"",false,true,false,9
"low_comp","rookie","volume_growth","star12","aggressive",2,151,"dismissed",3928466.8312000055,8114186,9172553,0.8846158752094427,4130280.8312000055,28,0,47,96.09142857142848,30,3,0,"",false,true,false,6
